team,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed
Steelers,41,137,0,17,23,156,0,0,91.938,133,270,2,23,1,0,0,9,60,16,8,17,0.471,0,1,0.0,2136,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    42.0
Name: total, dtype: float64","0    72291
Name: attendance, dtype: int64","0    176
Name: duration, dtype: int64","0    Retractable roof (closed)
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    ATL
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Falcons,22,89,0,16,26,155,1,2,58.974,137,226,2,18,1,1,3,5,34,15,2,9,0.222,1,1,1.0,1464,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    42.0
Name: total, dtype: float64","0    72291
Name: attendance, dtype: int64","0    176
Name: duration, dtype: int64","0    Retractable roof (closed)
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    ATL
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Bills,25,124,1,21,31,162,1,0,91.062,146,270,4,16,1,1,1,5,31,18,7,13,0.538,0,1,0.0,1770,"0   -6.5
Name: tm_spread, dtype: float64","0    6.5
Name: opp_spread, dtype: float64","0    46.5
Name: total, dtype: float64","0    70542
Name: attendance, dtype: int64","0    179
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    A_turf
Name: surface_type, dtype: object","0    ARI
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    61.0
Name: temperature, dtype: float64","0    55.0
Name: humidity_pct, dtype: float64","0    20.0
Name: wind_speed, dtype: float64"
Cardinals,33,130,2,18,23,232,2,0,137.681,222,352,2,10,1,1,1,9,65,23,3,9,0.333,2,2,1.0,1830,"0   -6.5
Name: tm_spread, dtype: float64","0    6.5
Name: opp_spread, dtype: float64","0    46.5
Name: total, dtype: float64","0    70542
Name: attendance, dtype: int64","0    179
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    A_turf
Name: surface_type, dtype: object","0    ARI
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    61.0
Name: temperature, dtype: float64","0    55.0
Name: humidity_pct, dtype: float64","0    20.0
Name: wind_speed, dtype: float64"
Saints,20,58,1,13,31,161,0,2,31.788,135,193,4,26,1,1,3,6,80,11,1,10,0.1,1,3,0.333,1401,"0   -4.0
Name: tm_spread, dtype: float64","0    4.0
Name: opp_spread, dtype: float64","0    41.5
Name: total, dtype: float64","0    70007
Name: attendance, dtype: int64","0    190
Name: duration, dtype: int64","0    Dome
Name: roof_type, dtype: object","0    Sportturf
Name: surface_type, dtype: object","0    CAR
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Panthers,37,180,2,19,24,200,3,0,140.972,199,379,1,1,1,1,1,10,95,22,7,13,0.538,0,0,0.0,2199,"0   -4.0
Name: tm_spread, dtype: float64","0    4.0
Name: opp_spread, dtype: float64","0    41.5
Name: total, dtype: float64","0    70007
Name: attendance, dtype: int64","0    190
Name: duration, dtype: int64","0    Dome
Name: roof_type, dtype: object","0    Sportturf
Name: surface_type, dtype: object","0    CAR
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Bears,26,140,1,19,32,127,1,2,52.474,104,244,3,23,1,1,3,8,50,16,3,14,0.214,1,2,0.5,2093,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    44.5
Name: total, dtype: float64","0    59403
Name: attendance, dtype: int64","0    180
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    CHI
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    67.0
Name: temperature, dtype: float64","0    43.0
Name: humidity_pct, dtype: float64","0    8.0
Name: wind_speed, dtype: float64"
Titans,22,84,0,14,29,93,0,0,55.675,64,148,2,29,3,1,1,7,55,11,2,13,0.154,2,2,1.0,1507,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    44.5
Name: total, dtype: float64","0    59403
Name: attendance, dtype: int64","0    180
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    CHI
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    67.0
Name: temperature, dtype: float64","0    43.0
Name: humidity_pct, dtype: float64","0    8.0
Name: wind_speed, dtype: float64"
Patriots,39,170,1,15,24,121,0,0,75.174,120,290,1,1,1,0,0,5,40,17,6,15,0.4,0,0,0.0,2043,"0   -7.5
Name: tm_spread, dtype: float64","0    7.5
Name: opp_spread, dtype: float64","0    41.0
Name: total, dtype: float64","0    66214
Name: attendance, dtype: int64","0    169
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    NE
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    66.0
Name: temperature, dtype: float64","0    40.0
Name: humidity_pct, dtype: float64","0    5.0
Name: wind_speed, dtype: float64"
Bengals,16,70,1,21,29,164,0,0,85.991,154,224,3,10,3,2,2,2,10,13,4,11,0.364,0,1,0.0,1557,"0   -7.5
Name: tm_spread, dtype: float64","0    7.5
Name: opp_spread, dtype: float64","0    41.0
Name: total, dtype: float64","0    66214
Name: attendance, dtype: int64","0    169
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    NE
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    66.0
Name: temperature, dtype: float64","0    40.0
Name: humidity_pct, dtype: float64","0    5.0
Name: wind_speed, dtype: float64"
Texans,40,213,1,24,32,234,2,0,115.885,204,417,4,30,0,0,0,5,30,26,7,14,0.5,2,2,1.0,2400,"0    2.5
Name: tm_spread, dtype: float64","0   -2.5
Name: opp_spread, dtype: float64","0    48.5
Name: total, dtype: float64","0    65306
Name: attendance, dtype: int64","0    182
Name: duration, dtype: int64","0    Retractable roof (open)
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    IND
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Colts,22,104,2,9,19,212,2,1,101.206,199,303,2,13,0,0,1,4,20,14,5,10,0.5,1,2,0.5,1200,"0    2.5
Name: tm_spread, dtype: float64","0   -2.5
Name: opp_spread, dtype: float64","0    48.5
Name: total, dtype: float64","0    65306
Name: attendance, dtype: int64","0    182
Name: duration, dtype: int64","0    Retractable roof (open)
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    IND
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Dolphins,26,128,1,12,21,162,1,0,97.718,139,267,3,23,2,1,1,8,71,17,2,10,0.2,0,1,0.0,1610,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    49.5
Name: total, dtype: float64","0    65582
Name: attendance, dtype: int64","0    183
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    JAC
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    91.0
Name: temperature, dtype: float64","0    57.0
Name: humidity_pct, dtype: float64","0    10.0
Name: wind_speed, dtype: float64"
Jaguars,25,81,1,23,37,338,1,0,100.957,319,400,3,19,0,0,0,9,103,18,8,16,0.5,0,2,0.0,1990,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    49.5
Name: total, dtype: float64","0    65582
Name: attendance, dtype: int64","0    183
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    JAC
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    91.0
Name: temperature, dtype: float64","0    57.0
Name: humidity_pct, dtype: float64","0    10.0
Name: wind_speed, dtype: float64"
