team,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,temperature,humidity_pct,wind_speed,tm_location,opp_location,tm_score,opp_score,opponent
Chiefs,20.0,72.0,2.0,20.0,28.0,291.0,1.0,1.0,101.935,281.0,353.0,2.0,10.0,0.0,0.0,1.0,6.0,45.0,21.0,4.0,9.0,0.444,0.0,0.0,0.0,1577.0,-3.0,3.0,47.0,73611.0,190.0,Outdoors,Grass,67.0,53.0,8.0,H,A,27,20,Ravens
Ravens,32.0,185.0,1.0,26.0,41.0,273.0,1.0,0.0,90.803,267.0,452.0,1.0,6.0,1.0,1.0,1.0,7.0,64.0,25.0,7.0,14.0,0.5,1.0,2.0,0.5,2023.0,3.0,-3.0,47.0,73611.0,190.0,Outdoors,Grass,67.0,53.0,8.0,A,H,20,27,Chiefs
Eagles,38.0,144.0,2.0,20.0,34.0,278.0,2.0,2.0,80.27,266.0,410.0,2.0,12.0,2.0,1.0,3.0,7.0,57.0,25.0,4.0,14.0,0.286,1.0,1.0,1.0,1967.0,-2.0,2.0,49.5,47236.0,209.0,0,0,0.0,0.0,0.0,H,A,34,29,Packers
Packers,21.0,163.0,1.0,17.0,35.0,260.0,2.0,1.0,80.655,251.0,414.0,2.0,9.0,1.0,0.0,1.0,10.0,71.0,19.0,3.0,11.0,0.273,1.0,1.0,1.0,1633.0,2.0,-2.0,49.5,47236.0,209.0,0,0,0.0,0.0,0.0,A,H,29,34,Eagles
Steelers,22.0,89.0,0.0,16.0,26.0,155.0,1.0,2.0,58.974,137.0,226.0,2.0,18.0,1.0,1.0,3.0,5.0,34.0,15.0,2.0,9.0,0.222,1.0,1.0,1.0,1464.0,3.5,-3.5,42.0,72291.0,176.0,Retractable roof (closed),Fieldturf,0.0,0.0,0.0,A,H,18,10,Falcons
Falcons,41.0,137.0,0.0,17.0,23.0,156.0,0.0,0.0,91.938,133.0,270.0,2.0,23.0,1.0,0.0,0.0,9.0,60.0,16.0,8.0,17.0,0.471,0.0,1.0,0.0,2136.0,-3.5,3.5,42.0,72291.0,176.0,Retractable roof (closed),Fieldturf,0.0,0.0,0.0,H,A,10,18,Steelers
Bills,33.0,130.0,2.0,18.0,23.0,232.0,2.0,0.0,137.681,222.0,352.0,2.0,10.0,1.0,1.0,1.0,9.0,65.0,23.0,3.0,9.0,0.333,2.0,2.0,1.0,1830.0,-6.5,6.5,46.5,70542.0,179.0,Outdoors,A_turf,61.0,55.0,20.0,H,A,34,28,Cardinals
Cardinals,25.0,124.0,1.0,21.0,31.0,162.0,1.0,0.0,91.062,146.0,270.0,4.0,16.0,1.0,1.0,1.0,5.0,31.0,18.0,7.0,13.0,0.538,0.0,1.0,0.0,1770.0,6.5,-6.5,46.5,70542.0,179.0,Outdoors,A_turf,61.0,55.0,20.0,A,H,28,34,Bills
Saints,37.0,180.0,2.0,19.0,24.0,200.0,3.0,0.0,140.972,199.0,379.0,1.0,1.0,1.0,1.0,1.0,10.0,95.0,22.0,7.0,13.0,0.538,0.0,0.0,0.0,2199.0,-4.0,4.0,41.5,70007.0,190.0,Dome,Sportturf,0.0,0.0,0.0,H,A,47,10,Panthers
Panthers,20.0,58.0,1.0,13.0,31.0,161.0,0.0,2.0,31.788,135.0,193.0,4.0,26.0,1.0,1.0,3.0,6.0,80.0,11.0,1.0,10.0,0.1,1.0,3.0,0.333,1401.0,4.0,-4.0,41.5,70007.0,190.0,Dome,Sportturf,0.0,0.0,0.0,A,H,10,47,Saints
Bears,22.0,84.0,0.0,14.0,29.0,93.0,0.0,0.0,55.675,64.0,148.0,2.0,29.0,3.0,1.0,1.0,7.0,55.0,11.0,2.0,13.0,0.154,2.0,2.0,1.0,1507.0,-3.5,3.5,44.5,59403.0,180.0,Outdoors,Grass,67.0,43.0,8.0,H,A,24,17,Titans
