team,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,temperature,humidity_pct,wind_speed,tm_location,opp_location,tm_score,opp_score,opponent
Chiefs,20,72,2,20,28,291,1,1,101.935,281,353,2,10,0,0,1,6,45,21,4,9,0.444,0,0,0,1577,-3,3,47,73611,190,Outdoors,Grass,67,53,8,H,A,27,20,Ravens
Ravens,32,185,1,26,41,273,1,0,90.803,267,452,1,6,1,1,1,7,64,25,7,14,0.5,1,2,0.5,2023,3,-3,47,73611,190,Outdoors,Grass,67,53,8,A,H,20,27,Chiefs
Eagles,38,144,2,20,34,278,2,2,80.27,266,410,2,12,2,1,3,7,57,25,4,14,0.286,1,1,1,1967,-2,2,49.5,47236,209,,,,,,H,A,34,29,Packers
Packers,21,163,1,17,35,260,2,1,80.655,251,414,2,9,1,0,1,10,71,19,3,11,0.273,1,1,1,1633,2,-2,49.5,47236,209,,,,,,A,H,29,34,Eagles
Steelers,22,89,0,16,26,155,1,2,58.974,137,226,2,18,1,1,3,5,34,15,2,9,0.222,1,1,1,1464,3.5,-3.5,42,72291,176,Retractable roof (closed),Fieldturf,,,,A,H,18,10,Falcons
Falcons,41,137,0,17,23,156,0,0,91.938,133,270,2,23,1,0,0,9,60,16,8,17,0.471,0,1,0,2136,-3.5,3.5,42,72291,176,Retractable roof (closed),Fieldturf,,,,H,A,10,18,Steelers
Bills,33,130,2,18,23,232,2,0,137.681,222,352,2,10,1,1,1,9,65,23,3,9,0.333,2,2,1,1830,-6.5,6.5,46.5,70542,179,Outdoors,A_turf,61,55,20,H,A,34,28,Cardinals
Cardinals,25,124,1,21,31,162,1,0,91.062,146,270,4,16,1,1,1,5,31,18,7,13,0.538,0,1,0,1770,6.5,-6.5,46.5,70542,179,Outdoors,A_turf,61,55,20,A,H,28,34,Bills
Saints,37,180,2,19,24,200,3,0,140.972,199,379,1,1,1,1,1,10,95,22,7,13,0.538,0,0,0,2199,-4,4,41.5,70007,190,Dome,Sportturf,,,,H,A,47,10,Panthers
Panthers,20,58,1,13,31,161,0,2,31.788,135,193,4,26,1,1,3,6,80,11,1,10,0.1,1,3,0.333,1401,4,-4,41.5,70007,190,Dome,Sportturf,,,,A,H,10,47,Saints
Bears,22,84,0,14,29,93,0,0,55.675,64,148,2,29,3,1,1,7,55,11,2,13,0.154,2,2,1,1507,-3.5,3.5,44.5,59403,180,Outdoors,Grass,67,43,8,H,A,24,17,Titans
Titans,26,140,1,19,32,127,1,2,52.474,104,244,3,23,1,1,3,8,50,16,3,14,0.214,1,2,0.5,2093,3.5,-3.5,44.5,59403,180,Outdoors,Grass,67,43,8,A,H,17,24,Bears
Patriots,16,70,1,21,29,164,0,0,85.991,154,224,3,10,3,2,2,2,10,13,4,11,0.364,0,1,0,1557,7.5,-7.5,41,66214,169,Outdoors,Fieldturf,66,40,5,A,H,16,10,Bengals
Bengals,39,170,1,15,24,121,0,0,75.174,120,290,1,1,1,0,0,5,40,17,6,15,0.4,0,0,0,2043,-7.5,7.5,41,66214,169,Outdoors,Fieldturf,66,40,5,H,A,10,16,Patriots
Texans,22,104,2,9,19,212,2,1,101.206,199,303,2,13,0,0,1,4,20,14,5,10,0.5,1,2,0.5,1200,-2.5,2.5,48.5,65306,182,Retractable roof (open),Fieldturf,,,,A,H,29,27,Colts
Colts,40,213,1,24,32,234,2,0,115.885,204,417,4,30,0,0,0,5,30,26,7,14,0.5,2,2,1,2400,2.5,-2.5,48.5,65306,182,Retractable roof (open),Fieldturf,,,,H,A,27,29,Texans
Dolphins,25,81,1,23,37,338,1,0,100.957,319,400,3,19,0,0,0,9,103,18,8,16,0.5,0,2,0,1990,-3.5,3.5,49.5,65582,183,Outdoors,Grass,91,57,10,H,A,20,17,Jaguars
Jaguars,26,128,1,12,21,162,1,0,97.718,139,267,3,23,2,1,1,8,71,17,2,10,0.2,0,1,0,1610,3.5,-3.5,49.5,65582,183,Outdoors,Grass,91,57,10,A,H,17,20,Dolphins
Vikings,21,74,0,22,42,186,0,2,44.345,166,240,5,20,1,0,2,9,95,14,7,18,0.389,1,3,0.333,1946,-1.5,1.5,41,81908,172,Outdoors,Fieldturf,64,48,10,A,H,28,6,Giants
Giants,26,111,1,19,24,208,2,1,113.194,201,312,1,7,1,1,2,7,63,17,3,10,0.3,1,1,1,1654,1.5,-1.5,41,81908,172,Outdoors,Fieldturf,64,48,10,H,A,6,28,Vikings
Seahawks,33,146,2,18,25,171,1,1,87.25,158,304,2,13,1,1,2,6,41,19,4,12,0.333,0,0,0,1726,-6,6,42,68714,195,Outdoors,Fieldturf,73,72,7,H,A,26,20,Broncos
Broncos,25,99,1,26,42,138,0,2,47.52,132,231,2,6,2,1,3,8,60,13,5,18,0.278,1,1,1,1874,6,-6,42,68714,195,Outdoors,Fieldturf,73,72,7,A,H,20,26,Seahawks
Chargers,27,176,1,17,26,144,1,0,92.468,140,316,1,4,0,0,0,7,50,11,4,15,0.267,0,0,0,1696,-3,3,40,70240,170,Dome,Matrixturf,,,,H,A,22,10,Raiders
Raiders,22,71,0,25,33,257,1,1,95.139,225,296,4,32,2,2,3,2,15,14,5,14,0.357,0,1,0,1904,3,-3,40,70240,170,Dome,Matrixturf,,,,A,H,10,22,Chargers
Cowboys,19,93,1,24,45,169,1,2,51.065,137,230,6,32,1,0,2,11,64,15,2,15,0.133,3,5,0.6,1854,2.5,-2.5,41,67431,199,Outdoors,Grass,68,41,15,A,H,33,17,Browns
Browns,25,102,1,19,32,179,1,0,85.286,163,265,3,16,1,0,0,11,85,15,4,14,0.286,0,0,0,1746,-2.5,2.5,41,67431,199,Outdoors,Grass,68,41,15,H,A,17,33,Cowboys
Buccaneers,30,112,0,24,30,289,4,0,146.389,280,392,1,9,0,0,0,7,46,22,9,13,0.692,0,0,0,2021,-3.5,3.5,42.5,63020,182,Outdoors,Grass,93,60,6,H,A,37,20,Football Team
Football Team,30,138,3,17,24,184,0,0,93.056,161,299,2,23,3,0,0,7,51,22,2,8,0.25,1,1,1,1579,3.5,-3.5,42.5,63020,182,Outdoors,Grass,93,60,6,A,H,20,37,Buccaneers
Lions,31,163,2,18,28,217,1,1,84.97,200,363,2,17,0,0,1,6,56,21,6,13,0.462,1,1,1,1785,-4.5,4.5,52.5,66530,194,Dome,Fieldturf,,,,H,A,26,20,Rams
Rams,23,83,1,34,49,317,1,1,85.162,304,387,2,13,0,0,1,6,50,26,5,12,0.417,1,2,0.5,2096,4.5,-4.5,52.5,66530,194,Dome,Fieldturf,,,,A,H,20,26,Lions
49ers,38,180,2,19,29,231,0,0,89.871,221,401,3,10,0,0,0,4,40,24,6,13,0.462,0,0,0,2320,-4,4,43.5,71319,171,Outdoors,Grass,76,60,10,H,A,32,19,Jets
Jets,19,68,1,19,29,203,2,1,94.468,198,266,1,5,1,1,2,3,10,14,6,10,0.6,0,1,0,1280,4,-4,43.5,71319,171,Outdoors,Grass,76,60,10,A,H,19,32,49ers
